"","faza_I_2013","faza_I_2014","faza_I_2015","coeff_exams","coeff_school"
"1","Programi i studimit 001 : Histori","Programi i studimit 001 : Histori","Programi i studimit 001 : Histori","Programi i studimit 1 :  Histori ","Programi i studimit 1 :  Histori "
"2","Programi i studimit 002 : Gjeografi","Programi i studimit 002 : Gjeografi","Programi i studimit 002 : Gjeografi","Programi i studimit 2 :  Gjeografi ","Programi i studimit 2 :  Gjeografi "
"3","Programi i studimit 003 : Gjuhë - Letërsi","Programi i studimit 003 : Gjuhë - Letërsi","Programi i studimit 003 : Gjuhë - Letërsi","Programi i studimit 3 :  Gjuhë - Letërsi ","Programi i studimit 3 :  Gjuhë - Letërsi "
"4","Programi i studimit 004 : Gazetari","Programi i studimit 004 : Gazetari","Programi i studimit 004 : Gazetari","Programi i studimit 4 :  Gazetari ","Programi i studimit 4 :  Gazetari "
"5","Programi i studimit 005 : Biologji","Programi i studimit 005 : Arkeologji","Programi i studimit 005 : Arkeologji","Programi i studimit 5 :  Arkeologji dhe Trashëgimi kulturore ","Programi i studimit 5 :  Arkeologji dhe Trashëgimi kulturore "
"6","Programi i studimit 006 : Bioteknologji","Programi i studimit 006 : Biologji","Programi i studimit 006 : Biologji","Programi i studimit 6 :  Biologji ","Programi i studimit 6 :  Biologji "
"7","Programi i studimit 007 : Matematikë","Programi i studimit 007 : Bioteknologji","Programi i studimit 007 : Bioteknologji","Programi i studimit 7 :  Bioteknologji  ","Programi i studimit 7 :  Bioteknologji  "
"8","Programi i studimit 008 : Fizikë","Programi i studimit 008 : Matematikë","Programi i studimit 008 : Matematikë","Programi i studimit 8 :  Matematikë ","Programi i studimit 8 :  Matematikë "
"9","Programi i studimit 009 : Informatikë","Programi i studimit 009 : Fizikë","Programi i studimit 009 : Fizikë","Programi i studimit 9 :  Fizikë ","Programi i studimit 9 :  Fizikë "
"10","Programi i studimit 010 : Kimi","Programi i studimit 010 : Informatikë","Programi i studimit 010 : Informatikë","Programi i studimit 10 :  Informatikë ","Programi i studimit 10 :  Informatikë "
"11","Programi i studimit 011 : Kimi dhe Teknologji Ushqimore","Programi i studimit 011 : Kimi","Programi i studimit 011 : Kimi","Programi i studimit 11 :  Kimi ","Programi i studimit 11 :  Kimi "
"12","Programi i studimit 012 : Kimi Industriale dhe Mjedisore","Programi i studimit 012 : Kimi dhe Teknologji Ushqimore","Programi i studimit 012 : Kimi dhe Teknologji Ushqimore","Programi i studimit 12 :  Kimi dhe Teknologji Ushqimore ","Programi i studimit 12 :  Kimi dhe Teknologji Ushqimore "
"13","Programi i studimit 013 : Inxhinieri Matematike dhe
Informatike","Programi i studimit 013 : Kimi Industriale dhe Mjedisore","Programi i studimit 013 : Kimi Industriale dhe Mjedisore","Programi i studimit 13 :  Kimi Industriale dhe Mjedisore ","Programi i studimit 13 :  Kimi Industriale dhe Mjedisore "
"14","Programi i studimit 014 : Teknologji Informacioni dhe
Komunikimi","Programi i studimit 014 : Inxhinieri Matematike dhe
Informatike","Programi i studimit 014 : Inxhinieri Matematike dhe
Informatike","Programi i studimit 14 :  Inxhinieri Matematike dhe Informatike ","Programi i studimit 14 :  Inxhinieri Matematike dhe Informatike "
"15","Programi i studimit 015 : Gjuhë Angleze","Programi i studimit 015 : Teknologji Informacioni dhe
Komunikimi","Programi i studimit 015 : Teknologji Informacioni dhe
Komunikimi","Programi i studimit 15 :  Teknologji Informacioni dhe Komunikimi ","Programi i studimit 15 :  Teknologji Informacioni dhe Komunikimi "
